datetime,dia,mes,ano,hora,nivel_cm
2022-07-12 18:00:00,12,7,2022,18,182.0
2022-07-12 19:00:00,12,7,2022,19,182.0
2022-07-12 20:00:00,12,7,2022,20,182.0
2022-07-12 21:00:00,12,7,2022,21,181.0
2022-07-12 22:00:00,12,7,2022,22,181.0
2022-07-12 23:00:00,12,7,2022,23,181.0
2022-07-13 00:00:00,13,7,2022,0,181.0
2022-07-13 01:00:00,13,7,2022,1,181.0
2022-07-13 02:00:00,13,7,2022,2,180.0
2022-07-13 03:00:00,13,7,2022,3,181.0
2022-07-13 04:00:00,13,7,2022,4,181.0
2022-07-13 05:00:00,13,7,2022,5,180.0
2022-07-13 06:00:00,13,7,2022,6,181.0
2022-07-13 07:00:00,13,7,2022,7,181.0
2022-07-13 08:00:00,13,7,2022,8,181.0
2022-07-13 09:00:00,13,7,2022,9,181.0
2022-07-13 10:00:00,13,7,2022,10,181.0
2022-07-13 11:00:00,13,7,2022,11,182.0
2022-07-13 12:00:00,13,7,2022,12,182.0
2022-07-13 13:00:00,13,7,2022,13,182.0
2022-07-13 14:00:00,13,7,2022,14,183.0
2022-07-13 15:00:00,13,7,2022,15,183.0
2022-07-13 16:00:00,13,7,2022,16,183.0
2022-07-13 17:00:00,13,7,2022,17,184.0
2022-07-13 18:00:00,13,7,2022,18,184.0
2022-07-13 19:00:00,13,7,2022,19,184.0
2022-07-13 20:00:00,13,7,2022,20,185.0
2022-07-13 21:00:00,13,7,2022,21,185.0
2022-07-13 22:00:00,13,7,2022,22,186.0
2022-07-13 23:00:00,13,7,2022,23,186.0
2022-07-14 00:00:00,14,7,2022,0,186.0
2022-07-14 01:00:00,14,7,2022,1,187.0
2022-07-14 02:00:00,14,7,2022,2,187.0
2022-07-14 03:00:00,14,7,2022,3,188.0
2022-07-14 04:00:00,14,7,2022,4,188.0
2022-07-14 05:00:00,14,7,2022,5,189.0
2022-07-14 06:00:00,14,7,2022,6,192.0
2022-07-14 07:00:00,14,7,2022,7,193.0
2022-07-14 08:00:00,14,7,2022,8,193.0
2022-07-14 09:00:00,14,7,2022,9,193.0
2022-07-14 10:00:00,14,7,2022,10,193.0
2022-07-14 11:00:00,14,7,2022,11,194.0
2022-07-14 12:00:00,14,7,2022,12,194.0
2022-07-14 13:00:00,14,7,2022,13,195.0
2022-07-14 14:00:00,14,7,2022,14,196.0
2022-07-14 15:00:00,14,7,2022,15,196.0
2022-07-14 16:00:00,14,7,2022,16,197.0
2022-07-14 17:00:00,14,7,2022,17,197.0
2022-07-14 18:00:00,14,7,2022,18,197.0
2022-07-14 19:00:00,14,7,2022,19,198.0
2022-07-14 20:00:00,14,7,2022,20,198.0
2022-07-14 21:00:00,14,7,2022,21,198.0
2022-07-14 22:00:00,14,7,2022,22,199.0
2022-07-14 23:00:00,14,7,2022,23,199.0
2022-07-15 00:00:00,15,7,2022,0,199.0
2022-07-15 01:00:00,15,7,2022,1,200.0
2022-07-15 02:00:00,15,7,2022,2,200.0
2022-07-15 03:00:00,15,7,2022,3,200.0
2022-07-15 04:00:00,15,7,2022,4,201.0
2022-07-15 05:00:00,15,7,2022,5,201.0
2022-07-15 06:00:00,15,7,2022,6,202.0
2022-07-15 07:00:00,15,7,2022,7,202.0
2022-07-15 08:00:00,15,7,2022,8,203.0
2022-07-15 09:00:00,15,7,2022,9,204.0
2022-07-15 10:00:00,15,7,2022,10,205.0
2022-07-15 11:00:00,15,7,2022,11,206.0
2022-07-15 12:00:00,15,7,2022,12,207.0
2022-07-15 13:00:00,15,7,2022,13,209.0
2022-07-15 14:00:00,15,7,2022,14,211.0
2022-07-15 15:00:00,15,7,2022,15,213.0
2022-07-15 16:00:00,15,7,2022,16,215.0
2022-07-15 17:00:00,15,7,2022,17,218.0
2022-07-15 18:00:00,15,7,2022,18,220.0
2022-07-15 19:00:00,15,7,2022,19,223.0
2022-07-15 20:00:00,15,7,2022,20,226.0
2022-07-15 21:00:00,15,7,2022,21,230.0
2022-07-15 22:00:00,15,7,2022,22,233.0
2022-07-15 23:00:00,15,7,2022,23,236.0
2022-07-16 00:00:00,16,7,2022,0,240.0
2022-07-16 01:00:00,16,7,2022,1,244.0
2022-07-16 02:00:00,16,7,2022,2,247.0
2022-07-16 03:00:00,16,7,2022,3,251.0
2022-07-16 04:00:00,16,7,2022,4,255.0
2022-07-16 05:00:00,16,7,2022,5,258.0
2022-07-16 06:00:00,16,7,2022,6,262.0
2022-07-16 07:00:00,16,7,2022,7,265.0
2022-07-16 08:00:00,16,7,2022,8,269.0
2022-07-16 09:00:00,16,7,2022,9,273.0
2022-07-16 10:00:00,16,7,2022,10,276.0
2022-07-16 11:00:00,16,7,2022,11,279.0
2022-07-16 12:00:00,16,7,2022,12,282.0
2022-07-16 13:00:00,16,7,2022,13,285.0
2022-07-16 14:00:00,16,7,2022,14,288.0
2022-07-16 15:00:00,16,7,2022,15,290.0
2022-07-16 16:00:00,16,7,2022,16,292.0
2022-07-16 17:00:00,16,7,2022,17,295.0
2022-07-16 18:00:00,16,7,2022,18,297.0
2022-07-16 19:00:00,16,7,2022,19,299.0
2022-07-16 20:00:00,16,7,2022,20,301.0
2022-07-16 21:00:00,16,7,2022,21,303.0
2022-07-16 22:00:00,16,7,2022,22,305.0
2022-07-16 23:00:00,16,7,2022,23,307.0
2022-07-17 00:00:00,17,7,2022,0,308.0
2022-07-17 01:00:00,17,7,2022,1,310.0
2022-07-17 02:00:00,17,7,2022,2,311.0
2022-07-17 03:00:00,17,7,2022,3,312.0
2022-07-17 04:00:00,17,7,2022,4,313.0
2022-07-17 05:00:00,17,7,2022,5,314.0
2022-07-17 06:00:00,17,7,2022,6,315.0
2022-07-17 07:00:00,17,7,2022,7,316.0
